team,winningpct,confplay
Warriors,0.89,West Playoff
Spurs,0.817,West Playoff
Cavaliers,0.695,East Playoff
Raptors,0.683,East Playoff
Thunder,0.671,West Playoff
Clippers,0.646,West Playoff
Heat,0.585,East Playoff
Hornets,0.585,East Playoff
Celtics,0.585,East Playoff
Hawks,0.585,East Playoff
Pacers,0.549,East Playoff
Pistons,0.537,East Playoff
Trail Blazers,0.537,West Playoff
Grizzlies,0.512,West Playoff
Bulls,0.512,East Non-playoff
Mavericks,0.512,West Playoff
Rockets,0.5,West Playoff
Wizards,0.5,East Non-playoff
Jazz,0.488,West Non-playoff
Magic,0.427,East Non-playoff
Bucks,0.402,East Non-playoff
Nuggets,0.402,West Non-playoff
Kings,0.402,West Non-playoff
Knicks,0.39,East Non-playoff
Pelicans,0.366,West Non-playoff
Timberwolves,0.354,West Non-playoff
Suns,0.28,West Non-playoff
Nets,0.256,East Non-playoff
Lakers,0.207,West Non-playoff
76ers,0.122,East Non-playoff
